gameid,repetitionNum,word,count
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,at the top,1
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,on -PRON- knee,2
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,triangle on the,1
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,on the right,1
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,to the right,1
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,this one look,2
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,one look like,2
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,look like a,3
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,a diamond on,1
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,diamond on top,1
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,on top of,2
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,top of a,1
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,with leg out,1
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,point to the,1
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,to the left,1
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,sit down with,1
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,straight line on,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,stand on one,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,in front of,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,like -PRON- be,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,point to right,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,out to the,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,like a person,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,look like someone,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,with a diamond,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,on the left,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,the left side,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,triangle on top,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,a person sit,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,person sit down,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,like a man,0
0057-414228f8-c268-40d6-9349-b35df4f080d9,1,in the air,0
